vin,url,model,status
WVGZZZC1ZMY079552,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-t-cross-advance-1-0-tsi-70kw-95cv-95-4x4-suv-manual-2021-65008,Volkswagen T-Cross,Available
WVGZZZA1ZJV104099,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-t-roc-advance-1-6-tdi-85kw-115cv-115-4x4-suv-manual-2018-64444,Volkswagen T-Roc,Available
WVGZZZA1ZLV119071,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-t-roc-sport-2-0-tdi-110kw-150cv-dsg-150-4x4-suv-automatico-2020-61774,Volkswagen T-Roc,Available
WVGZZZ5NZKW320454,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-tiguan-advance-1-5-tsi-110kw-150cv-150-4x4-suv-manual-2019-59456,Volkswagen Tiguan,Available
WVGZZZ5NZKW840538,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-tiguan-advance-2-0-tdi-110kw-150cv-150-4x4-suv-manual-2019-64421,Volkswagen Tiguan,Available
WVGZZZ5NZKW355604,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-tiguan-edition-2-0-tdi-110kw-150cv-150-4x4-suv-manual-2019-64361,Volkswagen Tiguan,Available
WVGZZZ5NZLW858292,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-tiguan-r-line-2-0-tdi-110kw-150cv-dsg-150-4x4-suv-automatico-2020-63949,Volkswagen Tiguan,Available
YV1PW72U1L1125017,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volvo-v90-2-0-d3-momentum-150-familiar-manual-2019-64195,Volvo V90,Available
YV1XZA6BCJ2007875,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volvo-xc40-2-0-d4-awd-momentum-auto-190-4x4-suv-automatico-2018-64776,Volvo XC40,Available
YV1UZA8V4K1244769,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volvo-xc60-2-0-d4-awd-r-design-c-190-4x4-suv-manual-2018-64476,Volvo XC60,Available
YV1LFA8BDH1160027,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volvo-xc90-2-0-d4-inscription-auto-190-4x4-suv-automatico-2017-63672,Volvo XC90,Available
YV1LFA8BDH1183427,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volvo-xc90-2-0-d4-momentum-auto-190-4x4-suv-automatico-2017-61095,Volvo XC90,¡Reservado!
WVGZZZA1ZMV099419,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-t-roc-advance-1-0-tsi-81kw-110cv-110-4x4-suv-manual-2021-58178,KO,KO
